OBJECTNUMMER;PROJECTID;PROJECTNAAM;JAARBOUW;JAAROPL;OPDRACHTGEVER;ARCHITECT;PROJECTTYPE;WEBSITE;FASE_ID;FASE;HUUR_SOC;HUUR_MIDDEL;HUUR_DUUR;KOOP;ONBEKEND_HUURKOOP;EENGEZINS;APP;ONBEKEND_EENAPP;STUDJONG;TOTAAL_BRUTO;VERVANGING;TOTAAL_NETTO;STADSDEEL_CODE;GEBIED_CODE;COORDS;LNG;LAT;
1;"0013 01";"Blom";2014;2015;"Buro Amsterdam";"Ronald Janssen Architecten";"Functiewijziging";"";"7";"Opgeleverd";0;0;0;12;0;0;12;0;0;12;0;12;A;DX02;"POLYGON((4.903597 52.372872,4.903085 52.373159,4.902827 52.372989,4.903349 52.372697,4.903597 52.372872))";"4,903212";"52,372928";
2;"0020 01";"Tabak II";2015;2017;"Woonstichting de Key";"Loco-Motief Amsterdam";"Functiewijziging";"";"6";"In aanbouw";0;0;0;42;0;0;42;0;0;42;0;42;A;DX01;"POLYGON((4.890222 52.37188,4.890203 52.371915,4.890175 52.371907,4.890152 52.371974,4.890144 52.371984,4.890176 52.371994,4.890137 52.372041,4.889745 52.371918,4.889793 52.371863,4.889831 52.371875,4.889854 52.371798,4.889831 52.371875,4.889535 52.371778,4.88951 52.371631,4.88959 52.37164,4.889606 52.371587,4.890181 52.37165,4.890139 52.371742,4.890169 52.371746,4.890149 52.371819,4.890209 52.371831,4.890187 52.371872,4.890222 52.37188))";"4,889866";"52,371814";
3;"0040 01";"Plantage Muidergracht 105-107";2015;2016;"Werkmij De Binnenstad bv";"Bureau De Binnenstad bv";"Functiewijziging";"";"6";"In aanbouw";0;0;0;2;0;0;2;0;0;2;0;2;A;DX02;"POLYGON((4.915785 52.36419,4.915588 52.364258,4.915733 52.364414,4.915543 52.364478,4.915442 52.364368,4.915366 52.364394,4.915416 52.364448,4.915316 52.364482,4.915322 52.364489,4.91531 52.364493,4.915211 52.364383,4.915398 52.364319,4.915204 52.364119,4.915294 52.364089,4.915331 52.36413,4.915322 52.364133,4.915345 52.364159,4.915341 52.364168,4.915368 52.364159,4.915419 52.364214,4.915516 52.364181,4.915477 52.364138,4.91567 52.364065,4.915785 52.36419))";"4,9154945";"52,364279";
4;"0113 01";"Bloem / Bloemstraat 96,100-112";2015;2016;"Ymere";"Adviesburo Bouwen in A`dam";"Vervanging";"";"7";"Opgeleverd";0;0;0;5;0;0;5;0;0;5;-5;0;A;DX01;"MULTIPOLYGON(((4.880028 52.373895,4.879913 52.374076,4.879687 52.374023,4.879796 52.373844,4.880028 52.373895)),((4.8802 52.373935,4.880135 52.374042,4.880101 52.374035,4.880112 52.374018,4.880067 52.374009,4.880122 52.373919,4.8802 52.373935)))";"4,8799435";"52,37396";
5;"0140 01";"2e Constantijn  Huygensstr. 48";2016;2017;"Particulier";"Eigen beheer";"Functiewijziging";"";"6";"In aanbouw";0;0;0;3;0;0;3;0;0;3;0;3;E;DX05;"POLYGON((4.873225 52.362743,4.873188 52.362797,4.87298 52.362744,4.872999 52.362716,4.87305 52.362729,4.873067 52.362704,4.873225 52.362743))";"4,8731025";"52,3627505";
6;"0178 01";"Oostpoort kavel 7 (OZ)";2012;2014;"O.C.P. (Ontw.comb. Polderweggebied)";"HENK Architecten";"Functiewijziging";"";"7";"Opgeleverd";0;0;0;30;0;0;30;0;0;30;0;30;M;DX13;"POLYGON((4.929048 52.35581,4.928862 52.356026,4.928398 52.355925,4.928528 52.355719,4.928649 52.355623,4.929048 52.35581))";"4,928723";"52,3558245";
7;"0180 01";"Amstelcampus Leeuwenhoekwon.";2016;2018;"Woonstichting de Key";"";"Functiewijziging";"";"6";"In aanbouw";69;0;0;0;0;0;69;0;69;69;0;69;M;DX13;"POLYGON((4.908709 52.358509,4.908624 52.358657,4.907846 52.358489,4.907935 52.358336,4.908709 52.358509))";"4,9082775";"52,3584965";
8;"0685 01";"De Steltloper";2016;2019;"Wonam bv";"Dam & Partners Architecten bv";"Functiewijziging";"";"6";"In aanbouw";0;126;0;0;0;0;126;0;0;126;0;126;M;DX14;"POLYGON((4.945186 52.37489,4.944267 52.374961,4.944152 52.374398,4.945071 52.374328,4.945186 52.37489))";"4,944669";"52,3746445";
9;"0202 01";"ZBE ~ RI-Oost blok 1ab";2015;2017;"De Alliantie / Lingotto";"";"Functiewijziging";"";"7";"Opgeleverd";44;0;100;0;0;0;144;0;0;144;0;144;M;DX16;"POLYGON((4.965578 52.375727,4.964805 52.376145,4.964707 52.376066,4.964476 52.375846,4.965201 52.375441,4.965578 52.375727))";"4,965027";"52,375793";
10;"0208 01";"Houthaven De Spreeuwen (1a)";2017;2017;"Ymere";"Geusebroek Stefanova arch.bureau";"Functiewijziging";"";"6";"In aanbouw";69;0;0;0;0;0;69;0;0;69;0;69;E;DX03;"POLYGON((4.877681 52.393596,4.877273 52.393891,4.876623 52.393553,4.877032 52.393259,4.877681 52.393596),(4.877048 52.39338,4.876823 52.393543,4.877256 52.393769,4.877483 52.393606,4.877048 52.39338))";"4,877152";"52,393575";
